countryid,teamName,countryCode,teamNameClean,teamNameCleanAll,FlagPath,FlagPathWeb,filename_x
136,Kenya,KEN,kenya,kenya,flags-normal/flag-of-Kenya.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kenya.png,flag-of-Kenya.png
34,North Korea,PRK,north korea,northkorea,flags-normal/flag-of-Korea-North.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea-North.png,flag-of-Korea-North.png
194,Kosovo,KOS,kosovo,kosovo,flags-normal/flag-of-Kosovo.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kosovo.png,flag-of-Kosovo.png
26,Kuwait,KUW,kuwait,kuwait,flags-normal/flag-of-Kuwait.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kuwait.png,flag-of-Kuwait.png
40,Kyrgyzstan,KGZ,kyrgyzstan,kyrgyzstan,flags-normal/flag-of-Kyrgyzstan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kyrgyzstan.png,flag-of-Kyrgyzstan.png
186,Laos,LAO,laos,laos,flags-normal/flag-of-Laos.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Laos.png,flag-of-Laos.png
58,Latvia,LVA,latvia,latvia,flags-normal/flag-of-Latvia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Latvia.png,flag-of-Latvia.png
37,Lebanon,LBN,lebanon,lebanon,flags-normal/flag-of-Lebanon.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lebanon.png,flag-of-Lebanon.png
200,Lesotho,LES,lesotho,lesotho,flags-normal/flag-of-Lesotho.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lesotho.png,flag-of-Lesotho.png
149,Liberia,LBR,liberia,liberia,flags-normal/flag-of-Liberia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liberia.png,flag-of-Liberia.png
126,Libya,LBY,libya,libya,flags-normal/flag-of-Libya.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Libya.png,flag-of-Libya.png
89,Liechtenstein,LIE,liechtenstein,liechtenstein,flags-normal/flag-of-Liechtenstein.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liechtenstein.png,flag-of-Liechtenstein.png
83,Lithuania,LTU,lithuania,lithuania,flags-normal/flag-of-Lithuania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lithuania.png,flag-of-Lithuania.png
152,Luxembourg,LUX,luxembourg,luxembourg,flags-normal/flag-of-Luxembourg.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Luxembourg.png,flag-of-Luxembourg.png
160,Macau,MAC,macau,macau,flags-normal/flag-of-Macau.png,,flag-of-Macau.png
182,Madagascar,MAD,madagascar,madagascar,flags-normal/flag-of-Madagascar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Madagascar.png,flag-of-Madagascar.png
146,Malawi,MWI,malawi,malawi,flags-normal/flag-of-Malawi.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malawi.png,flag-of-Malawi.png
151,Malaysia,MAS,malaysia,malaysia,flags-normal/flag-of-Malaysia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malaysia.png,flag-of-Malaysia.png
162,Maldives,MDV,maldives,maldives,flags-normal/flag-of-Maldives.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Maldives.png,flag-of-Maldives.png
127,Mali,MLI,mali,mali,flags-normal/flag-of-Mali.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mali.png,flag-of-Mali.png
91,Malta,MLT,malta,malta,flags-normal/flag-of-Malta.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malta.png,flag-of-Malta.png
214,Martinique,MTQ,martinique,martinique,flags-normal/flag-of-Martinique.png,,flag-of-Martinique.png
147,Mauritania,MTN,mauritania,mauritania,flags-normal/flag-of-Mauritania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritania.png,flag-of-Mauritania.png
183,Mauritius,MRI,mauritius,mauritius,flags-normal/flag-of-Mauritius.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritius.png,flag-of-Mauritius.png
205,Mayotte,MYT,mayotte,mayotte,flags-normal/flag-of-Mayotte.png,,flag-of-Mayotte.png
93,Mexico,MEX,mexico,mexico,flags-normal/flag-of-Mexico.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mexico.png,flag-of-Mexico.png
85,Moldova,MDA,moldova,moldova,flags-normal/flag-of-Moldova.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Moldova.png,flag-of-Moldova.png
189,Mongolia,MNG,mongolia,mongolia,flags-normal/flag-of-Mongolia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mongolia.png,flag-of-Mongolia.png
184,Montenegro,MNE,montenegro,montenegro,flags-normal/flag-of-Montenegro.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Montenegro.png,flag-of-Montenegro.png
216,Montserrat,MSR,montserrat,montserrat,flags-normal/flag-of-Montserrat.png,,flag-of-Montserrat.png
128,Morocco,MAR,morocco,morocco,flags-normal/flag-of-Morocco.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Morocco.png,flag-of-Morocco.png
134,Mozambique,MOZ,mozambique,mozambique,flags-normal/flag-of-Mozambique.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mozambique.png,flag-of-Mozambique.png
188,Myanmar,MYA,myanmar,myanmar,flags-normal/flag-of-Myanmar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Myanmar.png,flag-of-Myanmar.png
142,Namibia,NAM,namibia,namibia,flags-normal/flag-of-Namibia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Namibia.png,flag-of-Namibia.png
158,Nepal,NEP,nepal,nepal,flags-normal/flag-of-Nepal.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nepal.png,flag-of-Nepal.png
59,Netherlands,NED,netherlands,netherlands,flags-normal/flag-of-Netherlands.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Netherlands.png,flag-of-Netherlands.png
12,New Caledonia,NCL,new caledonia,newcaledonia,flags-normal/flag-of-New-Caledonia.png,,flag-of-New-Caledonia.png
11,New Zealand,NZL,new zealand,newzealand,flags-normal/flag-of-New-Zealand.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-New-Zealand.png,flag-of-New-Zealand.png
176,Nicaragua,NCA,nicaragua,nicaragua,flags-normal/flag-of-Nicaragua.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nicaragua.png,flag-of-Nicaragua.png
196,Niger,NIG,niger,niger,flags-normal/flag-of-Niger.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Niger.png,flag-of-Niger.png
113,Nigeria,NGA,nigeria,nigeria,flags-normal/flag-of-Nigeria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nigeria.png,flag-of-Nigeria.png
84,North Macedonia,MKD,north macedonia,northmacedonia,flags-normal/flag-of-North-Macedonia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-North-Macedonia.png,flag-of-North-Macedonia.png
60,Northern Ireland,NIR,northern ireland,northernireland,flags-normal/flag-of-Northern-Ireland.png,,flag-of-Northern-Ireland.png
224,Northern Mariana Islands,NMI,northern mariana islands,northernmarianaislands,flags-normal/flag-of-Northern-Mariana-Islands.png,,flag-of-Northern-Mariana-Islands.png
61,Norway,NOR,norway,norway,flags-normal/flag-of-Norway.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Norway.png,flag-of-Norway.png
27,Oman,OMA,oman,oman,flags-normal/flag-of-Oman.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Oman.png,flag-of-Oman.png
165,Pakistan,PAK,pakistan,pakistan,flags-normal/flag-of-Pakistan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Pakistan.png,flag-of-Pakistan.png
225,Palau,PLW,palau,palau,flags-normal/flag-of-Palau.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Palau.png,flag-of-Palau.png
185,Palestine,PLE,palestine,palestine,flags-normal/flag-of-Palestine.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Palestine.png,flag-of-Palestine.png
103,Panama,PAN,panama,panama,flags-normal/flag-of-Panama.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Panama.png,flag-of-Panama.png
156,Papua New Guinea,PNG,papua new guinea,papuanewguinea,flags-normal/flag-of-Papua-New-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Papua-New-Guinea.png,flag-of-Papua-New-Guinea.png
6,Paraguay,PAR,paraguay,paraguay,flags-normal/flag-of-Paraguay.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Paraguay.png,flag-of-Paraguay.png
7,Peru,PER,peru,peru,flags-normal/flag-of-Peru.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Peru.png,flag-of-Peru.png
159,Philippines,PHI,philippines,philippines,flags-normal/flag-of-Philippines.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Philippines.png,flag-of-Philippines.png
62,Poland,POL,poland,poland,flags-normal/flag-of-Poland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Poland.png,flag-of-Poland.png
63,Portugal,POR,portugal,portugal,flags-normal/flag-of-Portugal.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Portugal.png,flag-of-Portugal.png
